TIME,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2014,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2015,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2016,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2017,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2020,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2022,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2023,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2024
Austria,678613723.00,637577920.00,731319975.00,731341144.00,689977245.00,720735128.00,786496409.00,624996954.00,759529053.00,749758122.00,726669918.00,608314025.00,8445329616.00,586384736.00,631180688.00,716401101.00,668538966.00,637842091.00,709177015.00,712759632.00,615614419.00,730656459.00,721869415.00,717278589.00,602575363.00,8050278474.00,584425948.00,683612858.00,719512976.00,711472061.00,685469522.00,751917978.00,665843357.00,691043006.00,742091348.00,692376452.00,740801809.00,635041011.00,8303608326.00,648469290.00,706035792.00,840045997.00,730551629.00,848831673.00,800324486.00,761987909.00,743728593.00,801007815.00,811201467.00,845742072.00,676221742.00,9214148465.00,751222212.00,764048388.00,830820018.00,825146584.00,853218739.00,854569606.00,809561549.00,765248065.00,816958087.00,884352455.00,847927433.00,713763955.00,9716837091.00,865804626.00,850837710.00,909720115.00,902489283.00,921682405.00,846862118.00,915943517.00,758096988.00,833642896.00,898137630.00,811191365.00,660392104.00,10174800757.00,826299927.00,822527141.00,820960079.00,592924384.00,629008046.00,717508265.00,817188115.00,730643937.00,844220836.00,837560962.00,840352494.00,678155938.00,9157350124.00,732236542.00,817884792.00,987737370.00,884696948.00,862108033.00,988451346.00,976730357.00,874941121.00,1050614326.00,959975638.00,1073555263.00,951907621.00,11160839357.00,988989698.00,1061683003.00,1284397271.00,1168139511.00,1223709855.00,1147732014.00,1083798843.00,1084502891.00,1190856945.00,1099728511.00,1192552353.00,1014246366.00,13540337261.00,1043957946.00,1077947583.00,1255323931.00,1103056966.00,1130628050.00,1108827047.00,1027745811.00,1030549782.00,1052055844.00,1091692077.00,1107620278.00,895804594.00,12925209909.00,1021912513.00,1045756720.00,1056036277.00,1059083130.00,1031672116.00,1113907383.00,1096668168.00,863749984.00,997801258.00,1109061496.00,1050108899.00,#VALUE!,#VALUE!
Belgium,257865936.00,246185399.00,285595024.00,264351866.00,274894305.00,305898886.00,281608726.00,225582134.00,317423331.00,298136904.00,290321441.00,244999753.00,3292863705.00,296100371.00,302591403.00,337819755.00,328113170.00,297981396.00,352112965.00,316816121.00,278995739.00,340962316.00,338864821.00,326957154.00,261816124.00,3779131335.00,299601203.00,337124323.00,336902208.00,321712541.00,309236958.00,341541884.00,319459945.00,305883781.00,327687425.00,311433788.00,334528477.00,287713980.00,3832826513.00,318869924.00,338243733.00,390209146.00,326959159.00,397082365.00,388069629.00,297471354.00,341225660.00,370506654.00,371736696.00,398186493.00,309717607.00,4248278420.00,383870813.00,388753745.00,420102574.00,401119763.00,410418895.00,440997467.00,384550334.00,411298000.00,459491157.00,453019059.00,484386066.00,427256631.00,5065264504.00,456454078.00,455431803.00,517485355.00,508153829.00,486809306.00,485223024.00,468338739.00,446278727.00,539280759.00,530094429.00,528471410.00,480586017.00,5902607476.00,526022709.00,564357840.00,534801285.00,303608359.00,426521699.00,452161308.00,408450531.00,395124080.00,479720972.00,476753831.00,496094852.00,445119406.00,5508736872.00,497710338.00,488320500.00,664744969.00,524145093.00,502217871.00,629038164.00,521032464.00,407870392.00,470516178.00,491439796.00,560038082.00,491765885.00,6248839732.00,490886076.00,562854050.00,680651234.00,542731245.00,596231731.00,609607075.00,497630895.00,530180331.00,663633753.00,551893582.00,613324987.00,527178236.00,6866803195.00,545644929.00,585643320.00,665564630.00,514780252.00,668236347.00,718573523.00,519826997.00,531616922.00,670406177.00,534121952.00,637427403.00,569698511.00,7161540963.00,598328035.00,549563121.00,566548758.00,527817797.00,537221107.00,525987453.00,502199013.00,353257332.00,432677031.00,545807196.00,493058085.00,#VALUE!,#VALUE!
Bulgaria,90347485.00,79964883.00,95764502.00,94394271.00,95541798.00,105957198.00,99260138.00,92200368.00,110181711.00,110402108.00,103277881.00,102398944.00,1179691289.00,94247339.00,105902840.00,125346538.00,112514192.00,102282358.00,111044491.00,115936073.00,100670327.00,108053085.00,125696110.00,122437077.00,102592171.00,1326722601.00,101097000.00,107806175.00,121083923.00,109481111.00,115726828.00,129145617.00,108236231.00,110586574.00,111313134.00,117994977.00,130119461.00,124801372.00,1387392403.00,107077685.00,132147533.00,130494448.00,108811394.00,127183494.00,134418506.00,118132251.00,122121611.00,126260470.00,134291172.00,159841097.00,126807710.00,1527587371.00,127566547.00,123275132.00,141478802.00,120608535.00,131829572.00,138380672.00,132500426.00,124768286.00,135888734.00,152400675.00,156460855.00,123844318.00,1609002554.00,140595149.00,141588823.00,146170352.00,133485964.00,147203829.00,127833172.00,139376671.00,130403772.00,139772713.00,164392094.00,165805787.00,132123350.00,1708751676.00,148365777.00,149580007.00,152985193.00,106296727.00,111370492.00,132057589.00,127259861.00,122588452.00,141294245.00,166972682.00,173979849.00,153695215.00,1686446091.00,172738316.00,156627644.00,174658036.00,167777377.00,157241505.00,185183877.00,174061648.00,165756373.00,173893659.00,184292012.00,179822575.00,181516003.00,2073569025.00,192665861.00,202647683.00,239326435.00,209031510.00,213615758.00,227844165.00,219244483.00,195027824.00,231033424.00,248000929.00,222248855.00,170563129.00,2571250056.00,189477191.00,194270165.00,213242410.00,170438921.00,189754279.00,200427986.00,184563227.00,199282445.00,192227820.00,183837011.00,210957932.00,161198039.00,2289677428.00,187399921.00,206214732.00,188382923.00,186892226.00,192743855.00,195131554.00,187851319.00,166019504.00,181730633.00,216153950.00,215569926.00,#VALUE!,#VALUE!
Cyprus,711741.00,1105484.00,1616290.00,947167.00,1004937.00,924743.00,1347508.00,789172.00,868711.00,853352.00,847261.00,1615743.00,12632109.00,1065999.00,1130318.00,558524.00,2105699.00,1466202.00,1360218.00,1667964.00,1225492.00,1480995.00,906456.00,1701511.00,2471668.00,17141046.00,1343253.00,1447942.00,1642244.00,2605326.00,2300480.00,1473791.00,1025530.00,1752815.00,1136979.00,797803.00,966502.00,1707223.00,18199888.00,1027509.00,1336409.00,2358577.00,3094161.00,4139661.00,2072801.00,1843946.00,5634916.00,1605911.00,1553162.00,2455798.00,1560845.00,28683696.00,1850963.00,2596076.00,1784696.00,1173727.00,2388827.00,1740721.00,2584765.00,1608598.00,1778422.00,7841005.00,1270501.00,3145395.00,29763696.00,1217094.00,3083661.00,2625061.00,2202686.00,4145973.00,2541594.00,5554918.00,3987929.00,1858494.00,2174289.00,3196373.00,3294610.00,35882682.00,3082291.00,2838079.00,1944586.00,1693241.00,2433961.00,7208209.00,4988127.00,3252995.00,3667272.00,2838624.00,4392720.00,1449395.00,39789500.00,4202682.00,5072312.00,3719118.00,3240090.00,4894423.00,6336815.00,2927245.00,1861432.00,2369785.00,3376255.00,4710765.00,2663698.00,45374620.00,1856037.00,2544352.00,3237281.00,2837595.00,3856169.00,4106246.00,2538701.00,2747337.00,4096219.00,2443068.00,2225871.00,3976395.00,36465271.00,5473268.00,3431447.00,2928824.00,3541041.00,3438606.00,3932446.00,3457562.00,4611807.00,5013413.00,4873326.00,3626831.00,5311436.00,49640007.00,9725852.00,4654169.00,2571647.00,6005167.00,2462809.00,5083188.00,3961596.00,4190711.00,4660627.00,3126126.00,4464101.00,#VALUE!,#VALUE!
Czechia,526291487.00,516159936.00,572813483.00,573365634.00,556147312.00,571652729.00,597627769.00,479081316.00,624821815.00,644562117.00,633490480.00,512698139.00,6808712218.00,581946081.00,613833506.00,696492500.00,617779879.00,582216808.00,667520553.00,656500915.00,559776117.00,707989417.00,703056456.00,704195323.00,592710699.00,7684018256.00,582741041.00,638371203.00,646140175.00,667342103.00,665778618.00,689939035.00,556200627.00,627292024.00,716992730.00,668450405.00,736134137.00,580499819.00,7775881915.00,659474591.00,660773243.00,772091974.00,661624706.00,775742298.00,777419426.00,637703070.00,716686207.00,782100409.00,840960064.00,869677844.00,663906444.00,8818160280.00,785092951.00,753291986.00,795583245.00,770555781.00,805546884.00,822198234.00,691233091.00,746657705.00,805181140.00,897108760.00,906167473.00,655956867.00,9434574117.00,803502894.00,798299480.00,867276187.00,850957873.00,897668994.00,829427053.00,838774230.00,756384815.00,905497418.00,983353590.00,954745982.00,693888205.00,10179776719.00,908275932.00,890128025.00,821295436.00,494511626.00,603840288.00,780198949.00,863190816.00,718875224.00,909504121.00,961435040.00,975535077.00,790855936.00,9717646472.00,804368133.00,860863442.00,1077706310.00,986611591.00,946921091.00,1056302230.00,870530221.00,814122525.00,909761263.00,926628030.00,1028989634.00,948143931.00,11230948400.00,1021704517.00,1087510724.00,1170849584.00,1065151421.00,1172534412.00,1208544427.00,1032286282.00,1124186190.00,1278484272.00,1219088067.00,1349340893.00,1058576357.00,13788257145.00,1292936785.00,1205817056.00,1297824451.00,1182350993.00,1333582587.00,1375331106.00,1136347861.00,1166143954.00,1239588929.00,1301492735.00,1359358837.00,1028481363.00,14919256657.00,1294713337.00,1223797046.00,1157042777.00,1241467249.00,1204064409.00,1117781925.00,1172557091.00,1045750688.00,1196885323.00,1307827241.00,1304292463.00,1079119818.00,14345299363.00
Germany,3278435175.00,3412922221.00,3553860944.00,3572984288.00,3400140662.00,3565068176.00,3686421941.00,3035957748.00,3809378288.00,3779391340.00,3593031945.00,2961987186.00,41649579914.00,3425390254.00,3636483635.00,4065033740.00,3655087026.00,3716700803.00,4028712881.00,4097802214.00,3242842371.00,4125385012.00,4036362953.00,4051193500.00,3288981032.00,45369975421.00,3465350699.00,3982740115.00,3998627753.00,4157845121.00,3898914677.00,4349906328.00,3855689618.00,3753919035.00,4407478788.00,3999293738.00,4306212118.00,3353108129.00,47529086119.00,3985801661.00,4236165149.00,4516473680.00,4178880294.00,4468328150.00,4364684952.00,4086543187.00,4125093863.00,4673948368.00,4378662319.00,4698129203.00,3768463221.00,51481174047.00,4291577606.00,4380957420.00,4794805609.00,4648243095.00,4708298324.00,4952996963.00,4440833178.00,4078039810.00,4274726892.00,4720241042.00,4828792769.00,3739547156.00,53859059864.00,4504011482.00,4756740428.00,4969124840.00,4728795059.00,4912510975.00,4612907574.00,4669780395.00,4276759925.00,5122375731.00,5015303658.00,4844845712.00,3610101895.00,56023257674.00,4590031462.00,4864404102.00,4549548228.00,2772573727.00,3190769241.00,4141131191.00,4565798104.00,4405994697.00,5191513101.00,5088856689.00,5102657635.00,4231713888.00,52694992065.00,4063573811.00,4984805221.00,5616433929.00,4854291627.00,4955943953.00,5178173107.00,5023037111.00,4368284377.00,5061849568.00,5015164649.00,5591297936.00,4778117704.00,59490972993.00,4872388926.00,5453567661.00,5959953939.00,5128838209.00,5639875846.00,5849632143.00,5672239308.00,5684471869.00,6442427279.00,5751783248.00,6231698261.00,4955294155.00,67642170844.00,5584946601.00,5829171012.00,6685184695.00,5337585928.00,6093218031.00,6569968261.00,5902551435.00,5692612561.00,6031519995.00,5841410720.00,6119699526.00,4537281341.00,70225150106.00,5741556555.00,6163127261.00,6116708841.00,6252950407.00,5500447483.00,5618036798.00,5673040774.00,5259308833.00,5842357173.00,5842743431.00,5419972146.00,#VALUE!,#VALUE!
Denmark,86013984.00,89529774.00,99817137.00,96563840.00,149418927.00,92701854.00,104517414.00,82783812.00,124087892.00,113221207.00,98409421.00,83308012.00,1220373276.00,93892431.00,85318858.00,108064645.00,89667598.00,77765944.00,92764598.00,87288018.00,86428713.00,96730849.00,92826469.00,94314979.00,92553930.00,1097617032.00,94337909.00,104910803.00,114078197.00,104079182.00,105531080.00,98478574.00,89025715.00,99222199.00,121512437.00,95346524.00,103182706.00,97256769.00,1226962094.00,101258364.00,110905325.00,136449906.00,96888919.00,115898997.00,113080503.00,101258774.00,107623038.00,108664384.00,107117236.00,115820304.00,95900118.00,1310865866.00,110493134.00,115482708.00,114032181.00,105886146.00,121649194.00,124408359.00,96224256.00,113997269.00,118921711.00,129787317.00,118729916.00,101549234.00,1371161427.00,116029698.00,113183306.00,117286993.00,108867317.00,117838135.00,114724178.00,98248912.00,105228567.00,116583977.00,113073706.00,110337209.00,92521622.00,1323923618.00,114717198.00,110713093.00,107288377.00,91593807.00,92167103.00,106739453.00,99427154.00,92071186.00,109235146.00,105559644.00,96062798.00,105054365.00,1230629323.00,92617238.00,109263563.00,128864102.00,113170782.00,113346245.00,114511950.00,104447244.00,96914485.00,114045769.00,115343841.00,104857926.00,102587856.00,1309971000.00,110192090.00,113896118.00,137329961.00,130302119.00,125879294.00,132173794.00,119741819.00,128112389.00,137567921.00,127711849.00,134137223.00,124035239.00,1521079817.00,131473237.00,125991306.00,154354405.00,109409175.00,129847595.00,129995018.00,108916509.00,124542284.00,137574768.00,121781353.00,121371915.00,120859113.00,1516116678.00,121274928.00,123997497.00,118677531.00,122725830.00,127489076.00,121793119.00,120680796.00,119038232.00,128760004.00,141163037.00,131985861.00,#VALUE!,#VALUE!
Estonia,15575870.00,14237084.00,16683526.00,14960743.00,13176517.00,16817067.00,18460074.00,17725075.00,20781391.00,19981321.00,20629703.00,22960424.00,211988795.00,19315572.00,28540762.00,25712039.00,18122912.00,16772771.00,23684311.00,20449595.00,17375540.00,27463652.00,19140428.00,25346660.00,14907887.00,256832129.00,18539703.00,38817386.00,31257265.00,33874198.00,25798951.00,43345710.00,24907818.00,19311666.00,22255157.00,22346888.00,18209005.00,18257467.00,316921214.00,13554760.00,9985643.00,11872315.00,10377972.00,15961776.00,13529229.00,10675359.00,10032492.00,15077841.00,12811559.00,12762117.00,11580248.00,148221311.00,11373714.00,9595339.00,10759243.00,10234824.00,13232719.00,10688298.00,10319925.00,9474931.00,9505667.00,11798056.00,13871603.00,10261282.00,131115601.00,7983304.00,7132265.00,7679107.00,9173833.00,9436018.00,6921024.00,8279009.00,9103460.00,9938860.00,10186239.00,9808561.00,6965757.00,102607437.00,6613205.00,7315675.00,8790236.00,6539421.00,6908436.00,6879718.00,9150861.00,7474922.00,9000854.00,9670146.00,10873147.00,7720986.00,96937607.00,8468338.00,8314193.00,10814279.00,9900880.00,10363327.00,10368705.00,11622049.00,11787746.00,12226673.00,11932674.00,12983319.00,10186147.00,128968330.00,10722979.00,10857388.00,13258773.00,11028296.00,13671605.00,12208063.00,12164540.00,13852375.00,13738688.00,13268702.00,14767808.00,12234492.00,151773709.00,10961289.00,9814588.00,12873610.00,13206103.00,15960842.00,16497222.00,14930789.00,15985267.00,13212908.00,14138531.00,12361500.00,11816135.00,161758784.00,15152750.00,13680234.00,11722885.00,16480929.00,14583002.00,12984390.00,13985515.00,13326002.00,15185776.00,17874162.00,14835517.00,13666286.00,173477448.00
Spain,240429021.00,267449606.00,301609380.00,250758912.00,274773103.00,295622069.00,257984289.00,153104410.00,292365172.00,283091983.00,286627317.00,276022453.00,3179837715.00,288020032.00,332047774.00,369419554.00,382162165.00,329144156.00,348894610.00,330225193.00,174566824.00,366245854.00,354504843.00,345658721.00,311250222.00,3932139948.00,264675512.00,354777686.00,374758114.00,370112450.00,366831650.00,405773545.00,354221433.00,233127882.00,397864388.00,361235405.00,381751356.00,332789698.00,4197919119.00,314750163.00,377410071.00,444644698.00,311426936.00,380565581.00,390770925.00,354307565.00,253651024.00,391818062.00,370306591.00,387589265.00,322344502.00,4299585383.00,371368289.00,368197151.00,411424477.00,372170745.00,402892926.00,416555956.00,331628911.00,289481615.00,404786769.00,438525196.00,401550378.00,377871539.00,4586453952.00,379595467.00,444744278.00,469297915.00,415271860.00,420331840.00,414163579.00,410359223.00,285929253.00,376454567.00,427425713.00,410592527.00,371536697.00,4825702919.00,389607454.00,463770706.00,429051981.00,175772945.00,236851344.00,394487324.00,383199964.00,267604428.00,425517606.00,412475389.00,416783313.00,383461622.00,4378584076.00,352951372.00,391930804.00,471095210.00,362193823.00,400842555.00,384483021.00,337148315.00,256983390.00,388555522.00,369910777.00,422922641.00,335927138.00,4474944568.00,422256000.00,427127085.00,495703379.00,427567515.00,536712235.00,508473918.00,400060785.00,362961475.00,541605036.00,484892108.00,449049495.00,414376150.00,5470785181.00,463298439.00,479978819.00,652175530.00,469579323.00,488079459.00,522981730.00,446676056.00,360583967.00,468815591.00,470882966.00,471395042.00,374130599.00,5668577521.00,481089440.00,540106013.00,564013234.00,506829595.00,537407546.00,573314809.00,513904293.00,340629276.00,543662863.00,581234714.00,465780031.00,445000458.00,6092972272.00
Finland,37749484.00,34373413.00,39042883.00,33982845.00,37845964.00,31879212.00,35179632.00,32651282.00,36111083.00,35060441.00,34107846.00,34855677.00,422839762.00,32543281.00,32588246.00,40483517.00,31827708.00,34089419.00,36803610.00,32705973.00,32358016.00,36654564.00,37624346.00,36505785.00,35898598.00,420083063.00,37164928.00,41094169.00,43514874.00,49142461.00,42935914.00,42658055.00,32665067.00,40142696.00,39569962.00,38653038.00,44105459.00,39292207.00,490938830.00,38877658.00,47730104.00,47297451.00,45674983.00,51133811.00,50855880.00,44784870.00,48957918.00,47956320.00,52216450.00,52504902.00,44268364.00,572258711.00,56684459.00,49943153.00,52969588.00,51407862.00,51018410.00,64188950.00,43147715.00,44899049.00,52057307.00,54466953.00,60564374.00,54404942.00,635752762.00,59507754.00,58525004.00,54874300.00,57285128.00,53210811.00,49476599.00,54111343.00,53633896.00,54478554.00,58593830.00,61189932.00,46790468.00,661677619.00,49973191.00,56468423.00,59116559.00,37974634.00,39881172.00,50765775.00,45796140.00,44328821.00,55175704.00,52091334.00,53973659.00,44026126.00,589571538.00,42234736.00,52135937.00,58427344.00,49605127.00,50893583.00,56958891.00,46514978.00,44838609.00,50880325.00,51784300.00,58570244.00,50136053.00,612980127.00,48120673.00,49180213.00,64901654.00,56131619.00,57764728.00,56065099.00,48056408.00,61056592.00,57219373.00,57795148.00,57098301.00,42434459.00,655824267.00,46726564.00,47854949.00,58636850.00,50059646.00,53842143.00,45828013.00,41734020.00,44052425.00,47109583.00,63074722.00,54313515.00,42325130.00,595557560.00,48704368.00,61482678.00,51966060.00,55036963.00,54897076.00,45149915.00,43787466.00,47049967.00,45113924.00,58120477.00,46679615.00,#VALUE!,#VALUE!
